"lambda_input","n32","n64","n128","n256","n512","n1024"
0,0.739600338735891,0.289023460612799,0.38568377502653,0.106497216,0.0660721446573831,0.0660721446573831
0.05,0.503930677567745,0.743564224639654,0.313271957199554,0.223107513450045,0.125721817359249,0.125721817359249
0.1,0.629700190927467,0.491052697090467,0.478748426516853,0.213091176598771,0.188588184716296,0.188588184716296
0.15,0.55189907668021,0.473826841857167,0.388054313047642,0.303228491219459,0.261320429572006,0.261320429572006
0.2,0.592003684417507,0.577801159694039,0.405240182707234,0.476841895891945,0.339034726817805,0.339034726817805
0.25,0.738928279028333,0.493235119830319,0.472623616417791,0.461370104334471,0.388227532357622,0.388227532357622
0.3,0.980431236999256,0.685098475874392,0.547014258126924,0.392783373602553,0.378845164321737,0.378845164321737
0.35,0.884678129607678,0.651465093319319,0.710291216262779,0.587429939039367,0.270808892168364,0.270808892168364
0.4,0.919332827919957,0.999999,0.703050115093336,0.490026602832393,0.353416638859237,0.353416638859237
0.45,0.988149899393515,0.887284799855293,0.687662227496969,0.607116737058749,0.300221195257168,0.300221195257168
0.5,0.985263161269282,0.837194081094984,0.627300506004209,0.688819957648256,0.364693119776588,0.364693119776588
0.55,0.935448930047584,0.894696531784579,0.777834280088502,0.341432378242375,0.322197575963722,0.322197575963722
0.6,0.999999,0.802397197467637,0.630517022285987,0.543291625817124,0.222672728709766,0.222672728709766
0.65,0.980322908249174,0.864854155033482,0.597223891584773,0.329453209510645,0.253341977739493,0.253341977739493
0.7,0.999999,0.895126377865071,0.395715191099204,0.311376613288728,0.221088159733654,0.221088159733654
0.75,0.999999,0.656809016120322,0.371419838008085,0.32914391687191,0.231757360584259,0.231757360584259
0.8,0.851679972601589,0.68406061359675,0.299324676807397,0.268450977438267,0.185200118219252,0.185200118219252
0.85,0.999999,0.507275304925189,0.446160152235937,0.301100271747959,0.132655422861066,0.132655422861066
0.9,0.999999,0.359539279318888,0.237285291080595,0.133571002941572,0.075939039904083,0.075939039904083
0.95,0.580016024055341,0.275170984822422,0.087857195197399,0.06820681860502,0.043388042668162,0.043388042668162
1,0.26393170973553,0.015996413047181,0.016856510420746,0.00693006162173404,0.00017542960543504,0.00017542960543504
